
title	'burbs, The (1989)	(500) Days of Summer (2009)	10 Cloverfield Lane (2016)	10 Things I Hate About You (1999)	10,000 BC (2008)	101 Dalmatians (1996)	101 Dalmatians (One Hundred and One Dalmatians) (1961)	12 Angry Men (1957)	12 Years a Slave (2013)	127 Hours (2010)	...	Zack and Miri Make a Porno (2008)	Zero Dark Thirty (2012)	Zero Effect (1998)	Zodiac (2007)	Zombieland (2009)	Zoolander (2001)	Zootopia (2016)	eXistenZ (1999)	xXx (2002)	¡Three Amigos! (1986)
40 Days and 40 Nights (2002)	0.115386	0.174618	0.081960	0.169333	0.241806	0.204085	0.201044	0.065062	0.062084	0.089848	...	0.280314	0.172607	0.052942	0.215405	0.183491	0.281322	0.147631	0.077368	0.396211	0.135242
40-Year-Old Virgin, The (2005)	0.124265	0.344805	0.145923	0.282269	0.229602	0.192091	0.211736	0.152124	0.159343	0.213953	...	0.385291	0.159255	0.065284	0.286849	0.330806	0.434640	0.174127	0.114796	0.160508	0.149350
400 Blows, The (Les quatre cents coups) (1959)	-0.022021	0.023625	0.033310	0.044299	0.033181	0.117375	-0.037886	0.035256	0.056354	0.046126	...	-0.025536	-0.021069	0.168723	0.057872	-0.000441	0.051857	0.055491	0.165889	0.044594	-0.028133
48 Hrs. (1982)	0.255706	0.156628	0.147068	0.113891	0.085560	0.018163	0.081776	0.052905	0.038356	0.128584	...	0.249058	0.141218	0.094618	0.249926	0.211042	0.279235	0.113094	0.225293	0.209532	0.236549
50 First Dates (2004)	0.024466	0.314037	0.025681	0.260104	0.171531	0.201456	0.254503	0.155885	0.044939	-0.012261	...	0.217317	0.064908	0.041938	0.172814	0.295761	0.370877	0.132905	0.010718	0.151376	0.021899
50/50 (2011)	0.027045	0.449556	0.110626	0.193500	0.149107	0.013975	0.052022	0.133550	0.212519	0.277113	...	0.294750	0.146408	0.038144	0.394241	0.324213	0.113825	0.180237	0.022306	0.221786	0.065205
6th Day, The (2000)	0.025169	0.046024	0.136828	0.106531	-0.008063	0.073324	0.085693	0.003208	0.018046	0.201381	...	0.162725	0.123075	0.042405	0.167434	0.157313	0.156145	0.138474	0.289664	0.279485	0.057537
8 1/2 (8½) (1963)	0.050693	0.038648	-0.022720	0.104176	0.026497	0.034064	0.072525	0.029581	0.029632	0.010178	...	0.008357	0.021818	-0.023604	0.052655	-0.009934	0.102720	-0.001147	0.109232	0.052459	-0.030530
8 Mile (2002)	0.081298	0.142570	0.167165	0.201865	0.224552	0.142100	0.198804	0.147206	0.160446	0.184963	...	0.217765	0.140563	0.027522	0.291352	0.195765	0.391360	0.167494	0.183789	0.313652	0.129380
8MM (1999)	0.075174	0.007742	0.042378	0.192870	0.117657	0.014575	-0.003891	0.059525	0.066930	0.114178	...	0.033798	0.035551	0.109279	0.081398	0.000409	0.110335	0.009572	0.157403	0.186961	0.151428
9 (2009)	0.049602	0.245365	0.373762	0.040689	0.207873	0.129690	0.156452	0.057516	-0.024113	0.187057	...	0.300092	-0.022589	0.061061	0.253712	0.253367	0.132043	0.162968	0.218462	0.190881	0.031810
9 1/2 Weeks (Nine 1/2 Weeks) (1986)	0.177167	0.107561	0.022235	0.175393	0.214284	0.035412	0.178146	0.060902	-0.020013	0.075563	...	0.168066	0.128587	0.068838	0.110726	0.097819	0.084348	0.064672	0.051398	0.161388	0.197042
A Million Ways to Die in the West (2014)	-0.007649	0.217948	0.368760	0.156074	0.145973	0.082494	0.007053	0.063883	0.053311	0.246537	...	0.459982	0.148306	-0.005778	0.230698	0.246576	0.118824	0.290719	0.089432	0.117484	0.046792
A-Team, The (2010)	0.048600	0.177987	0.131206	0.012709	0.144953	0.126314	0.179150	0.140806	0.184099	0.081474	...	0.407142	0.195365	-0.025942	0.289814	0.350772	0.301890	0.163150	-0.031462	0.278494	0.057983
A.I. Artificial Intelligence (2001)	0.190290	0.181817	0.112347	0.150340	0.065893	0.103390	0.232931	0.133630	0.102999	0.149502	...	0.261123	0.133278	0.047304	0.281377	0.189392	0.301106	0.141724	0.342150	0.282150	0.100487
50 rows × 2269 columns
